id,name,address,region,district,latitude,longitude,fuel_types,services,payments
69,Borjomi,"Borjomi, Davit Agmashenebeli street",Samtskhe-Javakheti,Borjomi,41.85719,43.41515,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
71,Gori,Tskinvali Highway N8,Shida Kartli,Gori,41.99287,44.11097,"CNG, LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Locker","Cash, Bank card, Coupon, Fuel card, Energy card"
72,Urbnili,"Kareli, Village Urbnisi",Shida Kartli,Urbnisi,42.01617,44.02668,"CNG, LPG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Charger, Service Block, TIR Park, Road Use Certificat, AS24, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
73,Chiatura 1,"Chiatura, Grigol Abashidze street N15",Shida Kartli,Chiatura,42.291852,43.280586,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
74,Khashuri,"Khashuri, Imereti street N36",Shida Kartli,Khashuri,41.99288,43.58763,"CNG, LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Service Center, Charger","Cash, Bank card, Coupon, Fuel card, Energy card"
75,Ambrolauri,"Ambrolauri, Vaja Pshavela street",Racha-Lechkhumi,Ambrolauri,42.526396,43.153792,"LPG, Nano Premium, Euro 5 Diesel, Nano Premium, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
76,Dafnari,"Samtredia, village Dapnari",Imereti,Dafnari,42.106503,42.325567,"LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Super, Nano Euro Regular","WC, WC, Way-Mart","Cash, Bank card, Coupon, Fuel card, Energy card"
77,Zestafoni,"Zestaponi, Staroselski street N15",Imereti,Zestafoni,42.117493,43.017853,"CNG, LPG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Charger, Service Block, WC, AS24","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
78,Terjola,"Terjola, Village Siktarva",Imereti,Terjola,42.173228,42.933175,"CNG, LPG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC, Charger, TIR Park, Road Use Certificat","Cash, Bank card, Fast payment machine"
79,IaneTi,"Samtredia, Village Ianeti",Imereti,Ianeti,42.169196,42.408627,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
81,Lanchkhuti,"Lantchkhuti, village Gvimbalauri",Imereti,Lanchkhti,42.089767,42.022643,"Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Way-Mart","Cash, Bank card, Coupon, Fuel card, Energy card"
82,Nikea,"Kutaisi, Nikea street N8 ",Imereti,Kutaisi,42.246077,42.692832,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Service Center, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
83,Ozurgeti,"Ozurgeti, E. takaishvili street",Guria,Ozurgeti,41.917126,42.002251,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",,"Cash, Bank card, Coupon, Fuel card, Energy card"
